  r          R           theta    pr             pR         pt
 3.175585  3.910056  1.572876  296.696540  -31.907664  0.000000  -1290.495400  
 3.497367  3.687720  1.579403  116.081390  -28.593813  0.000000  -1290.495400  
 2.458436  3.863796  1.640617  -358.360167  -31.083722  0.000000  -1290.495400  
 2.624839  3.686389  1.627212  458.886497  17.725247  0.000000  -1290.495400  
 3.466717  3.937732  1.487500  138.621532  -23.124270  0.000000  -1290.495400  
 2.665992  3.965325  1.582247  -461.518587  24.130732  0.000000  -1290.495400  
 2.956548  3.974356  1.562840  391.547492  -22.446553  0.000000  -1290.495400  
 2.820101  3.728395  1.584886  437.490831  -34.278714  0.000000  -1290.495400  
 3.232543  3.758533  1.539791  269.360319  -35.340259  0.000000  -1290.495400  
 2.877546  3.726730  1.617377  420.011392  -30.145097  0.000000  -1290.495400  
 2.703916  3.718819  1.501757  459.804366  -21.993688  0.000000  -1290.495400  
 3.273130  3.746993  1.554312  249.197092  -35.707404  0.000000  -1290.495400  
 3.519151  3.896856  1.580764  97.777841  -33.134848  0.000000  -1290.495400  
 2.548778  3.725453  1.607913  -436.623638  -31.649108  0.000000  -1290.495400  
